#block	written	holding	exposure	total credit balance	total stablecoin balance
266	0	0	0.00	9760789535029.00	9760789535029.00
297	2000577	2000577	0.00	14923381723509.00	14923381723509.00
314	4003322	4003322	0.00	20739654068673.00	20739654068673.00
334	14005598	14005598	0.00	24142806421450.00	24142806421450.00
363	38006276	38006276	0.00	25734921856833.00	25734921856833.00
378	38009771	38009771	0.00	28411009110249.00	28411009110249.00
401	55012583	55012583	0.00	29430259663854.00	29430259663854.00
424	64017410	64017410	0.00	30443440653690.00	30443440653690.00
453	75022274	75022274	0.00	30625718650908.00	30625718650908.00
478	81026082	81026082	0.00	30858092732525.00	30858092732525.00
507	79029774	79029774	0.00	30971306085859.00	30971306085859.00
528	78034744	78034744	0.00	31005445423678.00	31005445423678.00
549	78036327	78036327	0.00	30979645423678.00	30979645423678.00
566	78038706	78038706	0.00	31053039098648.00	31053039098648.00
589	77040935	77040935	0.00	31261175126477.00	31261175126477.00
614	77045761	77045761	0.00	31244863884830.00	31244863884830.00
632	77049222	77049222	0.00	31234742884830.00	31234742884830.00
658	77052270	77052270	0.00	31198906884830.00	31198906884830.00
692	77057686	77057686	0.00	31145382884830.00	31145382884830.00
715	77060804	77060804	0.00	31117641884830.00	31117641884830.00
737	77063461	77063461	0.00	31086424884830.00	31086424884830.00
765	77067951	77067951	0.00	31039158884830.00	31039158884830.00
791	77073073	77073073	0.00	31019407884830.00	31019407884830.00
817	77075739	77075739	0.00	30992590884830.00	30992590884830.00
834	77079482	77079482	0.00	30987880884830.00	30987880884830.00
856	77084121	77084121	0.00	30969338884830.00	30969338884830.00
886	98087646	98087646	0.00	30943383642620.00	30943383642620.00
906	111090543	111090543	0.00	30929834633696.00	30929834633696.00
929	112096543	112096543	0.00	30902220090218.00	30902220090218.00
949	129099375	129099375	0.00	30886121614564.00	30886121614564.00
985	129102616	129102616	0.00	30846127614564.00	30846127614564.00
1010	129106923	129106923	0.00	30822270614564.00	30822270614564.00
1031	129111072	129111072	0.00	30808705614564.00	30808705614564.00
1049	129112348	129112348	0.00	30789438614564.00	30789438614564.00
1071	129114600	129114600	0.00	30776110614564.00	30776110614564.00
1091	129118340	129118340	0.00	30767348614564.00	30767348614564.00
1115	129120894	129120894	0.00	30745576614564.00	30745576614564.00
1133	129123646	129123646	0.00	30727975614564.00	30727975614564.00
1170	129129495	129129495	0.00	30714477614564.00	30714477614564.00
1195	129133485	129133485	0.00	30691929614564.00	30691929614564.00
1210	129136161	129136161	0.00	30688181614564.00	30688181614564.00
1236	129139011	129139011	0.00	30640957614564.00	30640957614564.00
1263	157142362	157142362	0.00	30634030147950.00	30634030147950.00
1311	168151344	168151344	0.00	30580508760509.00	30580508760509.00
1343	187155774	187155774	0.00	30567816189356.00	30567816189356.00
1363	208159228	208159228	0.00	30557444222136.00	30557444222136.00
1383	226161223	226161223	0.00	30528404585241.00	30528404585241.00
1412	257164911	257164911	0.00	30513538586566.00	30513538586566.00
1527	301176375	301176375	0.00	30484885060853.00	30484885060853.00
1564	330179170	330179170	0.00	30455933859233.00	30455933859233.00
1603	357181007	357181007	0.00	30432727885407.00	30432727885407.00
1641	364183732	364183732	0.00	30433087452042.00	30433087452042.00
1680	364187904	364187904	0.00	30384571299954.00	30384571299954.00
1717	387191605	387191605	0.00	30375485635882.00	30375485635882.00
1760	389196679	389196679	0.00	30361101389566.00	30361101389566.00
1797	397201168	397201168	0.00	30352841636516.00	30352841636516.00
1835	410204749	410204749	0.00	30346323770519.00	30346323770519.00
1873	401209588	401209588	0.00	30328288131416.00	30328288131416.00
1915	387213262	387213262	0.00	30319199131416.00	30319199131416.00
1953	374215602	374215602	0.00	30290620131416.00	30290620131416.00
1991	369222112	369222112	0.00	30274707131416.00	30274707131416.00
2028	357224464	357224464	0.00	30245477131416.00	30245477131416.00
2070	355227957	355227957	0.00	30214741131416.00	30214741131416.00
2108	343234220	343234220	0.00	30188742131416.00	30188742131416.00
2147	335239874	335239874	0.00	30160813131416.00	30160813131416.00
2187	332243561	332243561	0.00	30108468131416.00	30108468131416.00
2228	386248100	386248100	0.00	30112969484705.00	30112969484705.00
2264	408254556	408254556	0.00	30180713699863.00	30180713699863.00
2302	412258447	412258447	0.00	30177108662191.00	30177108662191.00
2342	416262725	416262725	0.00	30177125886967.00	30177125886967.00
2386	427265239	427265239	0.00	30146816722439.00	30146816722439.00
2424	430271459	430271459	0.00	30122413270503.00	30122413270503.00
2462	470273726	470273726	0.00	30126775228364.00	30126775228364.00
2499	494279425	494279425	0.00	30118818606608.00	30118818606608.00
2543	502285106	502285106	0.00	30084115932829.00	30084115932829.00
2582	506287238	506287238	0.00	30069535463037.00	30069535463037.00
2620	545290131	545290131	0.00	30072363983124.00	30072363983124.00
2660	545293223	545293223	0.00	30056784970928.00	30056784970928.00
2705	527295912	527295912	0.00	30045439000261.00	30045439000261.00
2743	522301044	522301044	0.00	30017632571807.00	30017632571807.00
2781	535304910	535304910	0.00	29996991516275.00	29996991516275.00
2821	564308258	564308258	0.00	29975878176694.00	29975878176694.00
2865	564311681	564311681	0.00	29970433565466.00	29970433565466.00
2904	568314376	568314376	0.00	29955375183221.00	29955375183221.00
2941	601318790	601318790	0.00	29944568326513.00	29944568326513.00
2980	611323711	611323711	0.00	29931537534602.00	29931537534602.00
3022	663326738	663326738	0.00	29900619816587.00	29900619816587.00
3060	682328881	682328881	0.00	29884279602279.00	29884279602279.00
3097	731332139	731332139	0.00	29874421201100.00	29874421201100.00
3137	781335175	781335175	0.00	29854906819136.00	29854906819136.00
3181	785338908	785338908	0.00	29823513212985.00	29823513212985.00
3220	817342575	817342575	0.00	29813751555108.00	29813751555108.00
3258	859347730	859347730	0.00	29818045768163.00	29818045768163.00
3297	857352271	857352271	0.00	29796230162163.00	29796230162163.00
3341	874355720	874355720	0.00	29792748016030.00	29792748016030.00
3375	884361680	884361680	0.00	29773726816365.00	29773726816365.00
3411	923363613	923363613	0.00	29758215403604.00	29758215403604.00
3450	930367161	930367161	0.00	29745104884003.00	29745104884003.00
3493	946369556	946369556	0.00	29736202165087.00	29736202165087.00
3531	991371869	991371869	0.00	29707228722467.00	29707228722467.00
3568	1038373511	1038373511	0.00	29678776666449.00	29678776666449.00
3607	1105378017	1105378017	0.00	29685565851000.00	29685565851000.00
3646	1109379449	1109379449	0.00	29662792937632.00	29662792937632.00
3684	1107382749	1107382749	0.00	29653246616931.00	29653246616931.00
3721	1127386195	1127386195	0.00	29649700516126.00	29649700516126.00
3758	1132390269	1132390269	0.00	29638048469880.00	29638048469880.00
3803	1170391883	1170391883	0.00	29604265153278.00	29604265153278.00
3840	1192399078	1192399078	0.00	29607395886041.00	29607395886041.00
3877	1206402122	1206402122	0.00	29578571471681.00	29578571471681.00
3916	1215404073	1215404073	0.00	29560829497421.00	29560829497421.00
3960	1225408251	1225408251	0.00	29550671212364.00	29550671212364.00
3996	1232415050	1232415050	0.00	29529970622553.00	29529970622553.00
4032	1245418284	1245418284	0.00	29504694554308.00	29504694554308.00
4070	1287422533	1287422533	0.00	29491151314114.00	29491151314114.00
4113	1335425660	1335425660	0.00	29471663806073.00	29471663806073.00
4153	1407429004	1407429004	0.00	29473058811996.00	29473058811996.00
4192	1405431203	1405431203	0.00	29460666246937.00	29460666246937.00
4231	1447434395	1447434395	0.00	29441996166533.00	29441996166533.00
4274	1482437718	1482437718	0.00	29429053879340.00	29429053879340.00
4314	1516441424	1516441424	0.00	29429370580331.00	29429370580331.00
4353	1532443551	1532443551	0.00	29405794431067.00	29405794431067.00
4390	1530447401	1530447401	0.00	29397202627692.00	29397202627692.00
4431	1538451192	1538451192	0.00	29373786214617.00	29373786214617.00
4469	1581453426	1581453426	0.00	29361695408203.00	29361695408203.00
4509	1597457377	1597457377	0.00	29344913976336.00	29344913976336.00
4545	1606458811	1606458811	0.00	29324583048781.00	29324583048781.00
4589	1591464232	1591464232	0.00	29313921048781.00	29313921048781.00
4607	1591464232	1591464232	0.00	29313921048781.00	29313921048781.00
4666	13013917	13013917	0.00	31553585905837.00	31553585905837.00
