#block	written	holding	exposure	total CB	total SB	total debt
5800	0	0	0.00	1721447304638.00	1721447304638.00	0.00
5841	153965614	153965614	0.00	2625426982276.00	2625426982276.00	0.00
5878	153965614	153965614	0.00	4262015150050.00	4262015150050.00	0.00
5915	153965614	153965614	0.00	5849383541996.00	5849383541996.00	0.00
5965	800965614	800965614	0.00	6955824404408.00	6955824404408.00	0.00
6143	4329256557	4329256557	0.00	8147780821393.00	8147780821393.00	0.00
6169	6677474301	6823256557	0.00	8141763953835.00	8141763953835.00	0.00
6192	9039159263	9184941519	0.00	8133931747298.00	8133931747298.00	0.00
6227	13983388123	14129170379	0.00	8125543305829.00	8125543305829.00	0.00
6259	14757436510	14903218766	0.00	8120965700899.00	8120965700899.00	0.00
6291	16166691014	16312473270	0.00	8115831495732.00	8115831495732.00	0.00
6349	18498386894	18644169150	0.00	8109647929345.00	8109647929345.00	0.00
6386	19546386894	19692169150	0.00	8103209917559.00	8103209917559.00	0.00
6425	21785386894	21931169150	0.00	8098320223289.00	8098320223289.00	0.00
6464	22464386894	22610169150	0.00	8089547401700.00	8089547401700.00	0.00
6525	23250386894	23396169150	0.00	8083759144221.00	8083759144221.00	0.00
6561	25108386894	25254169150	0.00	8078094004828.00	8078094004828.00	0.00
6595	26923386894	27069169150	0.00	8073886928327.00	8073886928327.00	0.00
6629	28836386894	28982169150	0.00	8068795196246.00	8068795196246.00	0.00
6683	30062386894	30208169150	0.00	8064762646576.00	8064762646576.00	0.00
6719	30263386894	30409169150	0.00	8056052367607.00	8056052367607.00	0.00
6753	30355386894	30501169150	0.00	8049457773367.00	8049457773367.00	0.00
6787	30456386894	30602169150	0.00	8044315921636.00	8044315921636.00	0.00
6851	31489386894	31635169150	0.00	8040271571876.00	8040271571876.00	0.00
6891	32596386894	32742169150	0.00	8036092311115.00	8036092311115.00	0.00
6931	32992386894	33138169150	0.00	8030954677076.00	8030954677076.00	0.00
6969	33739812986	33981169150	0.00	8029044386738.00	8029044386738.00	0.00
7029	33925812986	34167169150	0.00	8020475094977.00	8020475094977.00	0.00
7068	34309812986	34551169150	0.00	8015988079775.00	8015988079775.00	0.00
7105	34691812986	34933169150	0.00	8014325083186.00	8014325083186.00	0.00
7147	34794812986	35036169150	0.00	8010552905021.00	8010552905021.00	0.00
7209	34951812986	35193169150	0.00	8003059311184.00	8003059311184.00	0.00
7251	35030812986	35272169150	0.00	7998757427167.00	7998757427167.00	0.00
