#block	written	holding	exposure	total CB	total SB	total debt
26154	0	0	0.00	1813504980346000017195008.00	1813504980346.00	0.00
26171	0	0	0.00	3522489497801481286320128.00	3522489497803.00	0.00
26183	0	0	0.00	5276707690970761096331264.00	5276707690973.00	0.00
26195	0	0	0.00	7066807988823969501282304.00	7066807988827.00	0.00
26205	0	0	0.00	8339727886136659519995904.00	8339727886141.00	0.00
26209	0	0	0.00	10142471380761135475064832.00	10142471380767.00	0.00
26223	0	0	0.00	11659538298498338208612352.00	11659538298505.00	0.00
26244	95070559610385522688	95070559610385522688	0.00	11935463321306948962353152.00	11935463321317.00	0.00
26268	168314629804151312384	168314629804151312384	0.00	11866719014817477618040832.00	11866719014831.00	0.00
26296	414993385114583580672	414993385114583580672	0.00	11700767561694997580349440.00	11700767561712.00	0.00
26326	497224007884842985472	497224007884842985472	0.00	11611483270544784961306624.00	11611483270565.00	0.00
26353	551177741491998881792	551177741491998881792	0.00	11695083975840234572087296.00	11695083975865.00	0.00
26378	727951124392467437568	727951124392467437568	0.00	11641881344300465921196032.00	11641881344329.00	0.00
26399	825148558147769182208	825148558147769182208	0.00	11606290331044149752496128.00	11606290331077.00	0.00
26427	909416643778238580736	909416643778238580736	0.00	11550000593054031115452416.00	11550000593094.00	0.00
26448	955162133851461675008	955162133851461675008	0.00	11461287642019661487276032.00	11461287642064.00	0.00
26465	999268629394201872384	999268629394201872384	0.00	11390404106665131675484160.00	11390404106714.00	0.00
26478	1144845991563164821504	1144845991563164821504	0.00	11341490121781174064906240.00	11341490121832.00	0.00
26509	1144845991563164821504	1144845991563164821504	0.00	11321256850171036054847488.00	11321256850224.00	0.00
26521	1184845991563164821504	1184845991563164821504	0.00	11272394918342502356353024.00	11272394918397.00	0.00
26534	1312533438704336521216	1312533438704336521216	0.00	11259240914373194517839872.00	11259240914431.00	0.00
26552	1431149579510860974080	1431149579510860974080	0.00	11247404159255873876656128.00	11247404159316.00	0.00
26579	1431149579510860974080	1431149579510860974080	0.00	11196230167639210338549760.00	11196230167705.00	0.00
26600	1431149579510860974080	1431149579510860974080	0.00	11400403749724589433815040.00	11400403749794.00	0.00
26620	1431149579510860974080	1431149579510860974080	0.00	11466548598475217126293504.00	11466548598547.00	0.00
26639	1431149579510860974080	1431149579510860974080	0.00	11578454239093375794937856.00	11578454239168.00	0.00
26669	1440149579510860974080	1440149579510860974080	0.00	11504831167930652554166272.00	11504831168008.00	0.00
26689	1724173972981137500160	1724173972981137500160	0.00	11469475130398708097613824.00	11469475130479.00	0.00
26708	1824674601652766910464	1824674601652766910464	0.00	11393223245360372708802560.00	11393223245445.00	0.00
26720	1824674601652766910464	1824674601652766910464	0.00	11337146434900236768903168.00	11337146434989.00	0.00
26749	1824674601652766910464	1824674601652766910464	0.00	11294888377587146155884544.00	11294888377680.00	0.00
26765	1824674601652766910464	1824674601652766910464	0.00	11243015191708684706119680.00	11243015191805.00	0.00
26774	1824674601652766910464	1824674601652766910464	0.00	11231600986846453156544512.00	11231600986945.00	0.00
26792	1824674601652766910464	1824674601652766910464	0.00	11202508471485179220721664.00	11202508471588.00	0.00
26818	1824674601652766910464	1824674601652766910464	0.00	11115630116598806371893248.00	11115630116705.00	0.00
26832	1824674601652766910464	1824674601652766910464	0.00	11066960430425866195959808.00	11066960430536.00	0.00
26855	1824674601652766910464	1824674601652766910464	0.00	11001851766504794938671104.00	11001851766623.00	0.00
26870	1824674601652766910464	1824674601652766910464	0.00	10954169576126331465236480.00	10954169576247.00	0.00
26898	1824674601652766910464	1824674601652766910464	0.00	10909226079990731251908608.00	10909226080115.00	0.00
26916	1824674601652766910464	1824674601652766910464	0.00	10892031478183212848513024.00	10892031478312.00	0.00
26933	1824674601652766910464	1824674601652766910464	0.00	10847729917281551142354944.00	10847729917416.00	0.00
26944	1824674601652766910464	1824674601652766910464	0.00	10817871454116305501683712.00	10817871454252.00	0.00
26969	1824674601652766910464	1824674601652766910464	0.00	10779743671350259106185216.00	10779743671492.00	0.00
26990	1824674601652766910464	1824674601652766910464	0.00	10799340879325031485669376.00	10799340879470.00	0.00
27013	1824674601652766910464	1824674601652766910464	0.00	10818739595473392028876800.00	10818739595622.00	0.00
27030	1824674601652766910464	1824674601652766910464	0.00	10810456999678519520788480.00	10810456999828.00	0.00
27063	1824674601652766910464	1824674601652766910464	0.00	10758993299338887037976576.00	10758993299496.00	0.00
27082	1824674601652766910464	1824674601652766910464	0.00	10695218954766278985777152.00	10695218954929.00	0.00
27098	1824674601652766910464	1824674601652766910464	0.00	10603272383867042024914944.00	10603272384034.00	0.00
27113	1824674601652766910464	1824674601652766910464	0.00	10517967970254062247477248.00	10517967970424.00	0.00
27137	1824674601652766910464	1824674601652766910464	0.00	10465568467670632725741568.00	10465568467844.00	0.00
27151	1824674601652766910464	1824674601652766910464	0.00	10427485681411756042223616.00	10427485681588.00	0.00
27165	1824674601652766910464	1824674601652766910464	0.00	10370625906490283957157888.00	10370625906669.00	0.00
27181	1824674601652766910464	1824674601652766910464	0.00	10333440508314537401778176.00	10333440508496.00	0.00
27211	1824674601652766910464	1824674601652766910464	0.00	10283939823572353334378496.00	10283939823758.00	0.00
27224	1824674601652766910464	1824674601652766910464	0.00	10247705207196757597880320.00	10247705207387.00	0.00
27240	1824674601652766910464	1824674601652766910464	0.00	10202761656840057868255232.00	10202761657034.00	0.00
27254	1824674601652766910464	1824674601652766910464	0.00	10151816116612085133082624.00	10151816116812.00	0.00
27283	1824674601652766910464	1824674601652766910464	0.00	10125817379656152251367424.00	10125817379859.00	0.00
27299	1824674601652766910464	1824674601652766910464	0.00	10064417246762975394529280.00	10064417246969.00	0.00
27319	1824674601652766910464	1824674601652766910464	0.00	10022475429326195737493504.00	10022475429540.00	0.00
27332	1824674601652766910464	1824674601652766910464	0.00	9951012878573390367031296.00	9951012878792.00	0.00
27362	1824674601652766910464	1824674601652766910464	0.00	9877892957578095927230464.00	9877892957802.00	0.00
27377	1824674601652766910464	1824674601652766910464	0.00	9836073724871706958364672.00	9836073725097.00	0.00
27391	1824674601652766910464	1824674601652766910464	0.00	9799503626464357615927296.00	9799503626695.00	0.00
27411	1824674601652766910464	1824674601652766910464	0.00	9747116843105704633958400.00	9747116843341.00	0.00
27442	1934428011612435916800	1934428011612435916800	0.00	9695348843614061356646400.00	9695348843853.00	0.00
27452	1934428011612435916800	1934428011612435916800	0.00	9679540404549134057472000.00	9679540404789.00	0.00
27467	1934428011612435916800	1934428011612435916800	0.00	9615331031686892547473408.00	9615331031930.00	0.00
27484	1934428011612435916800	1934428011612435916800	0.00	9581674916716886049685504.00	9581674916964.00	0.00
27515	1934428011612435916800	1934428011612435916800	0.00	9538644736089218961375232.00	9538644736340.00	0.00
27532	1934428011612435916800	1934428011612435916800	0.00	9495861886176108109365248.00	9495861886432.00	0.00
27541	1934428011612435916800	1934428011612435916800	0.00	9479059476100906305454080.00	9479059476360.00	0.00
27561	1934428011612435916800	1934428011612435916800	0.00	9463685311687726804762624.00	9463685311952.00	0.00
27594	1934428011612435916800	1934428011612435916800	0.00	9445154953836066953494528.00	9445154954104.00	0.00
27610	1934428011612435916800	1934428011612435916800	0.00	9438051002199685088673792.00	9438051002469.00	0.00
27624	1934428011612435916800	1934428011612435916800	0.00	9423800363837792404373504.00	9423800364111.00	0.00
27637	1904678747103774825317	1934428011612435916800	0.00	9395864338015334485196800.00	9395864338291.00	0.00
27667	1904678747103774825317	1934428011612435916800	0.00	9380206718631519279120384.00	9380206718909.00	0.00
27679	1904678747103774825317	1934428011612435916800	0.00	9371271199070947154853888.00	9371271199350.00	0.00
27693	1904678747103774825317	1934428011612435916800	0.00	9357912666461011609387008.00	9357912666742.00	0.00
27710	1904678747103774825317	1934428011612435916800	0.00	9327735926364377953861632.00	9327735926648.00	0.00
27741	1904678747103774825317	1934428011612435916800	0.00	9319709496276503905697792.00	9319709496561.00	0.00
27755	1912678747103774825317	1942428011612435916800	0.00	9303170950101336374378496.00	9303170950389.00	0.00
27771	1877772305249593210462	1942428011612435916800	0.00	9287038260062770127962112.00	9287038260353.00	0.00
27790	1877772305249593210462	1942428011612435916800	0.00	9268343533129277160554496.00	9268343533422.00	0.00
27816	1877772305249593210462	1942428011612435916800	0.00	9245534474607390076436480.00	9245534474902.00	0.00
27833	1877772305249593210462	1942428011612435916800	0.00	9229424829001385621061632.00	9229424829299.00	0.00
27854	1877772305249593210462	1942428011612435916800	0.00	9197077080388200329904128.00	9197077080689.00	0.00
27868	1877772305249593210462	1942428011612435916800	0.00	9187840304370283295277056.00	9187840304675.00	0.00
27897	1877772305249593210462	1942428011612435916800	0.00	9166004474688500540637184.00	9166004474994.00	0.00
27910	1877772305249593210462	1942428011612435916800	0.00	9156960862885762415198208.00	9156960863193.00	0.00
27922	1877772305249593210462	1942428011612435916800	0.00	9135289701460556946341888.00	9135289701769.00	0.00
27941	1877772305249593210462	1942428011612435916800	0.00	9097568661488530551209984.00	9097568661802.00	0.00
27970	1880772305249593210462	1945428011612435916800	0.00	9064701024561248602161152.00	9064701024878.00	0.00
27987	1880160765237329553305	1945428011612435916800	0.00	9038643023571718351355904.00	9038643023890.00	0.00
28001	1880160765237329553305	1945428011612435916800	0.00	9032352518446208176357376.00	9032352518766.00	0.00
28020	1880160765237329553305	1945428011612435916800	0.00	9010762208838174742937600.00	9010762209160.00	0.00
28054	1880160765237329553305	1945428011612435916800	0.00	8973983600468448319111168.00	8973983600794.00	0.00
28072	1880160765237329553305	1945428011612435916800	0.00	8952200609338987049385984.00	8952200609669.00	0.00
28089	1880160765237329553305	1945428011612435916800	0.00	8901205243869614835761152.00	8901205244207.00	0.00
28103	1880160765237329553305	1945428011612435916800	0.00	8865889790439839926059008.00	8865889790781.00	0.00
28135	1880160765237329553305	1945428011612435916800	0.00	8819289526408027100413952.00	8819289526753.00	0.00
28153	1880160765237329553305	1945428011612435916800	0.00	8770692769511351963877376.00	8770692769864.00	0.00
28173	1880160765237329553305	1945428011612435916800	0.00	8737409905264075474993152.00	8737409905621.00	0.00
28186	1880160765237329553305	1945428011612435916800	0.00	8711351402223088785424384.00	8711351402583.00	0.00
28220	1880160765237329553305	1945428011612435916800	0.00	8639729447150357749694464.00	8639729447516.00	0.00
28229	1880160765237329553305	1945428011612435916800	0.00	8616316642705487800827904.00	8616316643075.00	0.00
28247	1880160765237329553305	1945428011612435916800	0.00	8584437929043723454251008.00	8584437929417.00	0.00
